category|top_keys
焦點|[('楊澤祖', 4), ('高嘉瑜', 3), ('楊男', 2), ('劉伯伯', 1), ('麥當勞', 1), ('黃偉哲', 1), ('方仰寧', 1), ('楊實秋', 1), ('許智傑', 1), ('蔡易餘', 1), ('黃宣尹攝', 1), ('孫安佐', 1)]
要聞|[('顏清標', 21), ('詹長權', 6), ('顏寬恒', 3), ('宋楚瑜', 3), ('蔡咏鍀', 3), ('蔡英文', 2), ('盧秀燕', 1), ('顏莉敏', 1), ('朱立倫', 1), ('媽祖', 1), ('羅智強', 1), ('孫安佐', 1), ('邢泰釗', 1), ('林奕華', 1)]
即時|[('林威助', 5), ('黃鈞聲', 4), ('陳仕朋', 2), ('柳田悠岐', 2), ('蔡英文', 1), ('王威晨', 1), ('杜家明', 1), ('佛斯特', 1), ('黃偉哲', 1), ('方仰寧', 1), ('李余典', 1)]
娛樂|[('許藍方', 8), ('林襄', 6), ('陳熙鋒', 5), ('柯孟融', 5), ('高偉晏', 4), ('李銘杰', 4), ('王祖賢', 3), ('林威助', 2), ('蔡沐妍', 2), ('陳美鳳', 2), ('Enako', 2), ('鄭偉柏', 2), ('徐熙娣', 1), ('瀏海', 1), ('陽靖', 1), ('霸凌', 1), ('歐陽靖', 1), ('葉家妤', 1), ('江南', 1), ('蘇志燮', 1)]
新奇|[('高三', 1), ('郭佩蓉', 1)]
生活|[('謝金河', 8), ('楊澤祖', 4), ('楊男', 2), ('李余典', 1), ('楊實秋', 1), ('顏真真', 1)]
財經|[('馬雲', 5), ('盧燕俐', 2), ('鮑爾', 1), ('陳冲／', 1), ('徐佳馨', 1), ('胡鍚進', 1), ('賈慶林', 1), ('馬斯克', 1)]
專題|[('鄧佳華', 12), ('Morgan', 10), ('孟若羽', 3), ('阿嘉', 3), ('YoungJohnny', 3), ('一劍浣春秋', 2), ('圤智雨', 2), ('楊丞琳', 1), ('女優苡若', 1), ('金寶娜', 1), ('阿喜', 1), ('林育品', 1), ('雪碧', 1), ('方祺媛', 1), ('阿澎', 1), ('劉心語', 1), ('Mogran', 1), ('吳夢夢', 1)]
全球|[('戴琪', 6), ('艾伍德', 2), ('華勒斯', 2), ('蘇納克', 2), ('TobiasEllwood）', 1), ('愛沙尼亞', 1), ('特拉斯', 1), ('LizTruss', 1), ('米聶凱夫', 1), ('蒲亭', 1), ('川普', 1), ('葉倫', 1), ('辛赫', 1)]
運動|[('林威助', 13), ('林襄', 8), ('山本', 3), ('李宗賢', 2), ('丘昌榮', 2), ('柳田悠岐', 1), ('歐力士', 1), ('柳田悠', 1), ('柳田', 1), ('王勝偉', 1), ('莊韋恩', 1), ('于森旭', 1), ('楊晉豪', 1), ('德保拉', 1), ('泰迪', 1)]
全部|[('顏清標', 21), ('林威助', 20), ('林襄', 14), ('鄧佳華', 12), ('Morgan', 10), ('楊澤祖', 8), ('許藍方', 8), ('謝金河', 8), ('詹長權', 6), ('戴琪', 6), ('陳熙鋒', 5), ('柯孟融', 5), ('馬雲', 5), ('楊男', 4), ('黃鈞聲', 4), ('高偉晏', 4), ('李銘杰', 4), ('高嘉瑜', 3), ('顏寬恒', 3), ('宋楚瑜', 3), ('蔡英文', 3), ('蔡咏鍀', 3), ('柳田悠岐', 3), ('王祖賢', 3), ('孟若羽', 3), ('阿嘉', 3), ('YoungJohnny', 3), ('山本', 3), ('黃偉哲', 2), ('方仰寧', 2), ('楊實秋', 2), ('孫安佐', 2), ('陳仕朋', 2), ('李余典', 2), ('蔡沐妍', 2), ('陳美鳳', 2), ('Enako', 2), ('鄭偉柏', 2), ('盧燕俐', 2), ('一劍浣春秋', 2), ('圤智雨', 2), ('艾伍德', 2), ('華勒斯', 2), ('蘇納克', 2), ('李宗賢', 2), ('丘昌榮', 2), ('劉伯伯', 1), ('麥當勞', 1), ('許智傑', 1), ('蔡易餘', 1), ('黃宣尹攝', 1), ('盧秀燕', 1), ('顏莉敏', 1), ('朱立倫', 1), ('媽祖', 1), ('羅智強', 1), ('邢泰釗', 1), ('林奕華', 1), ('王威晨', 1), ('杜家明', 1), ('佛斯特', 1), ('徐熙娣', 1), ('瀏海', 1), ('陽靖', 1), ('霸凌', 1), ('歐陽靖', 1), ('葉家妤', 1), ('江南', 1), ('蘇志燮', 1), ('高三', 1), ('郭佩蓉', 1), ('顏真真', 1), ('鮑爾', 1), ('陳冲／', 1), ('徐佳馨', 1), ('胡鍚進', 1), ('賈慶林', 1), ('馬斯克', 1), ('楊丞琳', 1), ('女優苡若', 1), ('金寶娜', 1), ('阿喜', 1), ('林育品', 1), ('雪碧', 1), ('方祺媛', 1), ('阿澎', 1), ('劉心語', 1), ('Mogran', 1), ('吳夢夢', 1), ('TobiasEllwood）', 1), ('愛沙尼亞', 1), ('特拉斯', 1), ('LizTruss', 1), ('米聶凱夫', 1), ('蒲亭', 1), ('川普', 1), ('葉倫', 1), ('辛赫', 1), ('歐力士', 1), ('柳田悠', 1), ('柳田', 1), ('王勝偉', 1), ('莊韋恩', 1), ('于森旭', 1), ('楊晉豪', 1), ('德保拉', 1), ('泰迪', 1)]
