ne_name|top_keys
CARDINAL|[('焦點', [('18', 1), ('\u300051', 1), ('86', 1), ('2022.05.03', 1)]), ('要聞', [('7+7', 4), ('3+4', 3), ('10+7', 2), ('106', 1), ('202', 1), ('22', 1), ('17', 1), ('1萬2865', 1), ('1萬1265', 1), ('12', 1), ('10', 1), ('一次性', 1), ('2萬3102', 1), ('37', 1), ('14', 1), ('23', 1), ('2萬多', 1)]), ('即時', [('5099', 4), ('8.1', 1), ('128', 1), ('86', 1), ('5039', 1), ('60', 1)]), ('娛樂', [('1.6億', 2), ('86', 1), ('58', 1), ('79', 1), ('150萬', 1), ('75', 1), ('95%', 1), ('634萬', 1), ('25', 1)]), ('新奇', [('12', 1)]), ('生活', [('5099', 4), ('308', 2), ('5039', 1), ('60', 1), ('21', 1), ('38957', 1), ('911', 1), ('三成', 1)]), ('財經', [('0050', 3), ('50', 3), ('6萬', 2), ('兩成', 1), ('103', 1), ('18600', 1), ('16200', 1), ('277萬', 1), ('999', 1), ('9.5億', 1), ('10億', 1)]), ('專題', [('一半', 2), ('10', 1), ('3萬多', 1), ('八比二', 1), ('五比五', 1), ('15', 1), ('之一', 1), ('40幾', 1), ('20', 1)]), ('全球', [('之一', 2), ('約260萬', 1), ('250', 1), ('約47萬', 1), ('1500', 1), ('1.1萬', 1)]), ('運動', [('12', 1), ('15', 1)]), ('全部', [('5099', 8), ('7+7', 4), ('86', 3), ('12', 3), ('3+4', 3), ('0050', 3), ('50', 3), ('之一', 3), ('10', 2), ('10+7', 2), ('5039', 2), ('60', 2), ('1.6億', 2), ('308', 2), ('6萬', 2), ('一半', 2), ('15', 2), ('18', 1), ('\u300051', 1), ('2022.05.03', 1), ('106', 1), ('202', 1), ('22', 1), ('17', 1), ('1萬2865', 1), ('1萬1265', 1), ('一次性', 1), ('2萬3102', 1), ('37', 1), ('14', 1), ('23', 1), ('2萬多', 1), ('8.1', 1), ('128', 1), ('58', 1), ('79', 1), ('150萬', 1), ('75', 1), ('95%', 1), ('634萬', 1), ('25', 1), ('21', 1), ('38957', 1), ('911', 1), ('三成', 1), ('兩成', 1), ('103', 1), ('18600', 1), ('16200', 1), ('277萬', 1), ('999', 1), ('9.5億', 1), ('10億', 1), ('3萬多', 1), ('八比二', 1), ('五比五', 1), ('40幾', 1), ('20', 1), ('約260萬', 1), ('250', 1), ('約47萬', 1), ('1500', 1), ('1.1萬', 1)])]
DATE|[('焦點', [('90天', 3), ('2022年6月2日', 3), ('180天', 3), ('今天', 2), ('本周', 2), ('母親節', 2), ('5月8日母親節', 1), ('2022年5月26日', 1), ('2022年5月21日', 1), ('30幾年', 1), ('28歲', 1), ('昨天', 1), ('滿月', 1), ('23歲', 1), ('4年前', 1), ('4月', 1), ('2年', 1), ('2018年2月', 1), ('17歲', 1), ('2020年', 1), ('20歲後', 1), ('同年11月', 1), ('19歲', 1), ('6月', 1)]), ('要聞', [('今年', 3), ('今（3）日', 3), ('年底', 2), ('110年度', 2), ('114學年', 2), ('9日', 2), ('3天', 2), ('4月8日', 1), ('17日', 1), ('24日', 1), ('2022.05.03', 1), ('2008年', 1), ('30年', 1), ('20幾年', 1), ('一年', 1), ('當天', 1), ('110）年', 1), ('年度', 1), ('今年6月1日', 1), ('5月10日', 1), ('13日', 1), ('2年內', 1), ('5月', 1), ('4月', 1), ('3）日', 1), ('第7日', 1), ('7日', 1), ('4天', 1), ('今日', 1), ('14日', 1), ('6至11歲', 1)]), ('即時', [('今天', 5), ('上週', 2), ('明天', 2), ('4月', 1), ('日前', 1), ('4月29日', 1), ('今年', 1), ('28歲', 1), ('昨天', 1), ('滿月', 1)]), ('娛樂', [('38歲', 2), ('28歲', 2), ('4月', 2), ('5月4日', 1), ('去年', 1), ('幾天', 1), ('昨天', 1), ('上個月', 1), ('半年前', 1), ('30天', 1), ('有一天', 1), ('1個月', 1), ('5天', 1), ('2年', 1), ('Enako月', 1), ('今年', 1), ('2022年', 1), ('5年', 1)]), ('新奇', [('今天', 3), ('29歲', 2), ('一天', 1), ('二兒子國二', 1), ('最後一天', 1), ('一週', 1)]), ('生活', [('卅年', 3), ('今（3)日', 1), ('23歲', 1), ('4年前', 1), ('4月', 1), ('2年', 1), ('2018年2月', 1), ('17歲', 1), ('2020年', 1), ('20歲後', 1), ('同年11月', 1), ('19歲', 1), ('19年', 1), ('40年', 1), ('1985年2月', 1), ('1995年', 1), ('2001年', 1), ('2007年', 1)]), ('財經', [('今日', 5), ('今年', 4), ('20年', 2), ('10年', 2), ('4年', 2), ('本周', 2), ('周一', 1), ('4個多月', 1), ('5月', 1), ('下半年', 1), ('全年', 1), ('2023年', 1), ('2023年底', 1), ('2到3年', 1), ('週二', 1), ('前年下半年', 1), ('一個月', 1), ('今（3）日', 1), ('農曆5月5日', 1), ('農曆五月五日', 1)]), ('專題', [('去年底', 2), ('下個月', 2), ('去年', 2), ('今年年初', 1), ('去年12月', 1), ('今年一月', 1), ('二月', 1), ('一個月', 1), ('三年多', 1), ('近年', 1), ('7年前', 1), ('今年', 1), ('30歲', 1), ('去年年末', 1), ('幾十歲', 1), ('一兩年', 1), ('今年2月', 1), ('2015年', 1), ('一年', 1)]), ('全球', [('2日', 2), ('3月', 1), ('2025年', 1), ('2006年', 1), ('2021年', 1), ('4月', 1), ('前一年度', 1), ('4月27日', 1), ('數十年', 1), ('5月9日', 1), ('勝利日', 1), ('2月', 1), ('1992年', 1), ('幾十年', 1), ('4月25日', 1), ('幾天', 1), ('今天', 1), ('40年', 1), ('今年', 1), ('2022年', 1), ('去年', 1), ('8月', 1), ('夏天', 1)]), ('運動', [('今年', 3), ('今天', 2), ('3年', 1), ('5月4日', 1), ('37歲', 1), ('去年', 1), ('明天', 1), ('明年', 1)]), ('全部', [('今年', 14), ('今天', 13), ('4月', 7), ('今日', 6), ('去年', 5), ('本周', 4), ('28歲', 4), ('今（3）日', 4), ('90天', 3), ('2022年6月2日', 3), ('180天', 3), ('昨天', 3), ('2年', 3), ('明天', 3), ('卅年', 3), ('母親節', 2), ('滿月', 2), ('23歲', 2), ('4年前', 2), ('2018年2月', 2), ('17歲', 2), ('2020年', 2), ('20歲後', 2), ('同年11月', 2), ('19歲', 2), ('年底', 2), ('一年', 2), ('110年度', 2), ('5月', 2), ('114學年', 2), ('9日', 2), ('3天', 2), ('上週', 2), ('5月4日', 2), ('38歲', 2), ('幾天', 2), ('2022年', 2), ('29歲', 2), ('40年', 2), ('20年', 2), ('10年', 2), ('4年', 2), ('一個月', 2), ('去年底', 2), ('下個月', 2), ('2日', 2), ('5月8日母親節', 1), ('2022年5月26日', 1), ('2022年5月21日', 1), ('30幾年', 1), ('6月', 1), ('4月8日', 1), ('17日', 1), ('24日', 1), ('2022.05.03', 1), ('2008年', 1), ('30年', 1), ('20幾年', 1), ('當天', 1), ('110）年', 1), ('年度', 1), ('今年6月1日', 1), ('5月10日', 1), ('13日', 1), ('2年內', 1), ('3）日', 1), ('第7日', 1), ('7日', 1), ('4天', 1), ('14日', 1), ('6至11歲', 1), ('日前', 1), ('4月29日', 1), ('上個月', 1), ('半年前', 1), ('30天', 1), ('有一天', 1), ('1個月', 1), ('5天', 1), ('Enako月', 1), ('5年', 1), ('一天', 1), ('二兒子國二', 1), ('最後一天', 1), ('一週', 1), ('今（3)日', 1), ('19年', 1), ('1985年2月', 1), ('1995年', 1), ('2001年', 1), ('2007年', 1), ('周一', 1), ('4個多月', 1), ('下半年', 1), ('全年', 1), ('2023年', 1), ('2023年底', 1), ('2到3年', 1), ('週二', 1), ('前年下半年', 1), ('農曆5月5日', 1), ('農曆五月五日', 1), ('今年年初', 1), ('去年12月', 1), ('今年一月', 1), ('二月', 1), ('三年多', 1), ('近年', 1), ('7年前', 1), ('30歲', 1), ('去年年末', 1), ('幾十歲', 1), ('一兩年', 1), ('今年2月', 1), ('2015年', 1), ('3月', 1), ('2025年', 1), ('2006年', 1), ('2021年', 1), ('前一年度', 1), ('4月27日', 1), ('數十年', 1), ('5月9日', 1), ('勝利日', 1), ('2月', 1), ('1992年', 1), ('幾十年', 1), ('4月25日', 1), ('8月', 1), ('夏天', 1), ('3年', 1), ('37歲', 1), ('明年', 1)])]
EVENT|[('焦點', []), ('要聞', []), ('即時', []), ('娛樂', []), ('新奇', []), ('生活', []), ('財經', [('俄烏戰爭', 1)]), ('專題', [('鄧佳華事件', 1)]), ('全球', [('俄烏戰爭', 2)]), ('運動', []), ('全部', [('俄烏戰爭', 3), ('鄧佳華事件', 1)])]
FAC|[('焦點', []), ('要聞', []), ('即時', []), ('娛樂', []), ('新奇', []), ('生活', []), ('財經', []), ('專題', []), ('全球', []), ('運動', []), ('全部', [])]
GPE|[('焦點', [('花蓮', 1), ('台南', 1), ('臺南', 1), ('台北市', 1)]), ('要聞', [('台中市', 2), ('台中', 1)]), ('即時', [('新北市', 4), ('台南', 1), ('臺南', 1)]), ('娛樂', [('日本', 1), ('台灣', 1)]), ('新奇', [('台北', 3), ('台灣', 2), ('台北市', 2), ('福岡縣', 2), ('南港', 1), ('北市', 1), ('日本', 1), ('久留米市', 1)]), ('生活', [('美國', 6), ('中國', 5), ('新北市', 4), ('日本', 4), ('沙里', 1), ('豐華里', 1), ('台北市', 1)]), ('財經', [('台股', 9), ('美股', 4), ('香港', 4), ('美國', 3), ('中國', 2), ('台灣', 2), ('費城', 1), ('大陸', 1), ('杭州市', 1), ('阿里巴巴', 1), ('上海', 1), ('俄國', 1)]), ('專題', [('台灣', 28), ('日本', 11), ('中國', 3), ('美國', 1)]), ('全球', [('俄羅斯', 15), ('英國', 13), ('烏克蘭', 11), ('摩爾多瓦', 11), ('中國', 11), ('越南', 10), ('美國', 6), ('頓巴斯', 3), ('日本', 2), ('敖德薩', 2), ('俄國', 2), ('福岡縣', 2), ('印度', 2), ('泰國', 2), ('希臘', 1), ('波蘭', 1), ('克羅埃西亞', 1), ('拉脫維亞', 1), ('立陶宛', 1), ('華勒斯', 1), ('澳洲', 1), ('台灣', 1), ('烏東', 1), ('蘇聯', 1), ('久留米市', 1), ('洛杉磯', 1), ('浙江', 1), ('義烏', 1), ('新加坡', 1), ('韓國', 1), ('深圳', 1)]), ('運動', []), ('全部', [('台灣', 34), ('中國', 21), ('日本', 19), ('美國', 16), ('俄羅斯', 15), ('英國', 13), ('烏克蘭', 11), ('摩爾多瓦', 11), ('越南', 10), ('台股', 9), ('新北市', 8), ('台北市', 4), ('福岡縣', 4), ('美股', 4), ('香港', 4), ('台北', 3), ('俄國', 3), ('頓巴斯', 3), ('台南', 2), ('臺南', 2), ('台中市', 2), ('久留米市', 2), ('敖德薩', 2), ('印度', 2), ('泰國', 2), ('花蓮', 1), ('台中', 1), ('南港', 1), ('北市', 1), ('沙里', 1), ('豐華里', 1), ('費城', 1), ('大陸', 1), ('杭州市', 1), ('阿里巴巴', 1), ('上海', 1), ('希臘', 1), ('波蘭', 1), ('克羅埃西亞', 1), ('拉脫維亞', 1), ('立陶宛', 1), ('華勒斯', 1), ('澳洲', 1), ('烏東', 1), ('蘇聯', 1), ('洛杉磯', 1), ('浙江', 1), ('義烏', 1), ('新加坡', 1), ('韓國', 1), ('深圳', 1)])]
LANGUAGE|[('焦點', []), ('要聞', []), ('即時', []), ('娛樂', []), ('新奇', []), ('生活', []), ('財經', []), ('專題', [('華語', 3)]), ('全球', [('俄語', 2)]), ('運動', []), ('全部', [('華語', 3), ('俄語', 2)])]
LAW|[('焦點', [('刑事訴訟法', 1)]), ('要聞', []), ('即時', []), ('娛樂', []), ('新奇', []), ('生活', []), ('財經', []), ('專題', []), ('全球', []), ('運動', []), ('全部', [('刑事訴訟法', 1)])]
LOC|[('焦點', [('壽豐台11丙線', 1), ('台11丙線', 1), ('台11線', 1)]), ('要聞', []), ('即時', [('三重區', 2), ('三重', 2), ('集賢路', 2), ('仁義街', 2), ('蘆洲部分地區', 1), ('永安北路', 1), ('五華街', 1), ('溪尾街', 1), ('環河北', 1), ('蘆洲區', 1), ('復興路', 1), ('重陽街', 1), ('永安北路二段', 1), ('環河北路三段', 1), ('環河北路二段', 1), ('自強路', 1), ('通華街', 1)]), ('娛樂', []), ('新奇', []), ('生活', [('三重區', 2), ('三重', 2), ('集賢路', 2), ('仁義街', 2), ('蘆洲部分地區', 1), ('永安北路', 1), ('五華街', 1), ('溪尾街', 1), ('環河北', 1), ('蘆洲區', 1), ('復興路', 1), ('重陽街', 1), ('永安北路二段', 1), ('環河北路三段', 1), ('環河北路二段', 1), ('自強路', 1), ('通華街', 1)]), ('財經', [('亞洲', 1)]), ('專題', [('東南亞', 1), ('亞洲', 1)]), ('全球', [('聶斯特河', 3), ('歐洲', 1), ('黑海', 1)]), ('運動', []), ('全部', [('三重區', 4), ('三重', 4), ('集賢路', 4), ('仁義街', 4), ('聶斯特河', 3), ('蘆洲部分地區', 2), ('永安北路', 2), ('五華街', 2), ('溪尾街', 2), ('環河北', 2), ('蘆洲區', 2), ('復興路', 2), ('重陽街', 2), ('永安北路二段', 2), ('環河北路三段', 2), ('環河北路二段', 2), ('自強路', 2), ('通華街', 2), ('亞洲', 2), ('壽豐台11丙線', 1), ('台11丙線', 1), ('台11線', 1), ('東南亞', 1), ('歐洲', 1), ('黑海', 1)])]
MONEY|[('焦點', [('18萬元', 1)]), ('要聞', []), ('即時', []), ('娛樂', [('600元', 2), ('100萬日圓', 1), ('約台幣23萬元', 1)]), ('新奇', []), ('生活', [('103.928', 2), ('18萬元', 1), ('164.72', 1), ('263.5', 1), ('79.75', 1), ('147.5美元', 1)]), ('財經', [('200萬元', 3), ('531元', 2), ('29.5元', 2), ('55萬元', 2), ('200元', 2), ('29.515元', 2), ('新台幣1771.03億元', 1), ('9.2億元', 1), ('2000元', 1), ('000元', 1), ('9.5元', 1), ('16694.87點', 1), ('1263.65', 1), ('130.01', 1), ('1美元', 1), ('29.53元', 1), ('29.541元', 1)]), ('專題', [('30萬元', 2), ('120元', 1), ('三百多萬元', 1), ('40萬元', 1), ('一百多萬元', 1), ('兩千元', 1)]), ('全球', [('424億英鎊', 1), ('17億英鎊', 1), ('240億英鎊', 1), ('數千億美元', 1), ('1.75億美元', 1), ('300泰銖', 1)]), ('運動', [('600元', 2)]), ('全部', [('600元', 4), ('200萬元', 3), ('18萬元', 2), ('103.928', 2), ('531元', 2), ('29.5元', 2), ('55萬元', 2), ('200元', 2), ('29.515元', 2), ('30萬元', 2), ('100萬日圓', 1), ('約台幣23萬元', 1), ('164.72', 1), ('263.5', 1), ('79.75', 1), ('147.5美元', 1), ('新台幣1771.03億元', 1), ('9.2億元', 1), ('2000元', 1), ('000元', 1), ('9.5元', 1), ('16694.87點', 1), ('1263.65', 1), ('130.01', 1), ('1美元', 1), ('29.53元', 1), ('29.541元', 1), ('120元', 1), ('三百多萬元', 1), ('40萬元', 1), ('一百多萬元', 1), ('兩千元', 1), ('424億英鎊', 1), ('17億英鎊', 1), ('240億英鎊', 1), ('數千億美元', 1), ('1.75億美元', 1), ('300泰銖', 1)])]
NORP|[('焦點', [('美式', 1)]), ('要聞', []), ('即時', []), ('娛樂', [('日本', 1)]), ('新奇', [('日本', 1)]), ('生活', []), ('財經', [('美股', 1), ('中國', 1)]), ('專題', [('台灣', 3), ('日本', 2), ('日本人', 1)]), ('全球', [('日本', 1)]), ('運動', []), ('全部', [('日本', 5), ('台灣', 3), ('美式', 1), ('美股', 1), ('中國', 1), ('日本人', 1)])]
