category,top_keys
焦點,"[('張善政', 35), ('陳時中', 30), ('朱立倫', 28), ('林智堅', 28), ('柯文哲', 24)]"
要聞,"[('朱立倫', 94), ('侯友宜', 91), ('柯文哲', 72), ('陳時中', 58), ('張善政', 58)]"
即時,"[('范米特', 18), ('沈慧虹', 17), ('羅智強', 16), ('曾莞婷', 16), ('朱雲豪', 14)]"
娛樂,"[('汪小菲', 131), ('葛斯齊', 81), ('張穎穎', 70), ('戴普', 56), ('林襄', 37)]"
新奇,"[('戴普', 18), ('鍾怡婷', 17), ('賴禹妡', 12), ('詹鎰睿', 11), ('李惠婷', 11)]"
生活,"[('陳時中', 37), ('柯文哲', 33), ('林莞茜', 15), ('盧秀燕', 12), ('陳沂', 12)]"
財經,"[('王雲怡', 55), ('林伯修', 45), ('鄧振中', 43), ('王守誠', 30), ('彭郁文', 29)]"
專題,[]
全球,"[('拜登', 37), ('王毅', 28), ('卡蜜兒', 24), ('鄒幸彤', 23), ('戴普', 21)]"
運動,"[('塞爾提克', 40), ('王建民', 27), ('胡瓏貿', 22), ('林益全', 20), ('大谷', 19)]"
全部,"[('汪小菲', 153), ('柯文哲', 136), ('朱立倫', 134), ('陳時中', 132), ('戴普', 128)]"
